"mim","mom","gam","mov","a1","lambd","xdim","ydim","K","Tm_init","rg_init","                     Tm_mu","rg_mu","Time","Sex_ratio","Time-in","Tm","Tf","Gift","RejPr","Offs","                     N","Vr_Tm","Vr_Rj","M_m","N_m","Beta","M_males","M_females","                     M_male_gft"
0.01,0.01,0,1,0,1,1,1,1000,0,0,0.01,0,39999,0.5,0.259,-0.048278,2,0,0,263,1000,0.000212,0,0.853282,-0.075117,0.823944,0.547009,1.105634,0.000171
0.01,0.01,0,1,0,1,1,1,1000,0,0,0.01,0,39999,0.474,0.254,-0.001597,2,0.346008,0,292,1000,0.000189,0,0.877953,-0.021892,0.57764,0.55914,1.062112,0.269027
0.01,0.01,0,1,0,1,1,1,1000,0,0,0.01,0,39999,0.475,0.258,-0.011858,2,0.11619,0,310,1000,0.00019,0,0.926357,0.024556,0.563636,0.645161,1.084848,0.107721
0.01,0.01,0,1,0,1,1,1,1000,0,0,0.01,0,39999,0.491,0.246,-0.042701,2,0,0,281,1000,0.000207,0,0.943089,0.01075,0.576923,0.711111,1.076923,0.011111
0.01,0.01,0,1,0,1,1,1,1000,0,0,0.01,0,39999,0.508,0.236,-0.007153,2,0.215447,0,198,1000,0.0002,0,0.745763,0.036714,1.052174,0.504132,1,85877.801653
0.01,0.01,0,1,0,1,1,1,1000,0,0,0.01,0,39999,0.496,0.253,-0.014738,2,0.075397,0,288,1000,0.000187,0,0.86166,-0.104158,0.744828,0.62963,1.034483,0.119569
0.01,0.01,0,1,0,1,1,1,1000,0,0,0.01,0,39999,0.487,0.273,-0.129014,2,0,0,281,1000,0.0002,0,0.875458,-0.024499,0.674847,0.645455,1.030675,0
0.01,0.01,0,1,0,1,1,1,1000,0,0,0.01,0,39999,0.526,0.271,-0.04253,2,0,0,239,1000,0.000209,0,0.900369,-0.089002,0.67284,0.59633,1.104938,0
0.01,0.01,0,1,0,1,1,1,1000,0,0,0.01,0,39999,0.507,0.256,-0.04847,2,0,0,251,1000,0.000212,0,0.839844,0.163377,0.695364,0.580952,1.019868,0.038095
0.01,0.01,0,1,0,1,1,1,1000,0,0,0.01,0,39999,0.503,0.225,-0.046432,2,0,0,266,1000,0.000195,0,0.933333,-0.137228,0.595745,0.690476,1.078014,0.058945
