Time, Sex_ratio, Time-in, Tm, Tf, Gift, RejPr, Offs, N
0,0.510000,0.426500,0.000000,1.000000,0.000000,0.000000,1359,2000
1,0.512000,0.404000,0.010484,1.000000,0.005859,0.021559,771,1000
2,0.524000,0.389000,0.019523,1.000000,0.024809,0.039186,839,1000
3,0.497000,0.354000,0.029661,1.000000,0.046278,0.049922,874,1000
4,0.515000,0.371000,0.037580,1.000000,0.048544,0.063713,816,1000
5,0.491000,0.348000,0.043861,1.000000,0.048880,0.074466,836,1000
6,0.482000,0.329000,0.050474,1.000000,0.072614,0.082601,1005,1000
7,0.505000,0.368000,0.054962,1.000000,0.051485,0.092003,881,1000
8,0.494000,0.364000,0.058412,1.000000,0.054656,0.095384,907,1000
9,0.504000,0.373000,0.059797,1.000000,0.053571,0.103813,875,1000
10,0.506000,0.376000,0.062198,1.000000,0.043478,0.107719,867,1000
11,0.485000,0.348000,0.068628,1.000000,0.065979,0.112384,884,1000
12,0.481000,0.354000,0.065414,1.000000,0.056133,0.111568,884,1000
13,0.516000,0.391000,0.066555,1.000000,0.038760,0.129468,826,1000
14,0.514000,0.387000,0.070341,1.000000,0.040856,0.130668,768,1000
15,0.521000,0.381000,0.072464,1.000000,0.042226,0.136773,834,1000
16,0.514000,0.371000,0.073197,1.000000,0.052529,0.141183,995,1000
17,0.518000,0.378000,0.075493,1.000000,0.040541,0.145959,785,1000
18,0.492000,0.351000,0.080365,1.000000,0.046748,0.144520,863,1000
19,0.501000,0.363000,0.082719,1.000000,0.051896,0.150057,804,1000
20,0.505000,0.389000,0.082965,1.000000,0.041584,0.153858,807,1000
21,0.475000,0.351000,0.085802,1.000000,0.048421,0.149375,823,1000
22,0.499000,0.370000,0.088427,1.000000,0.046092,0.163514,774,1000
23,0.494000,0.360000,0.094526,1.000000,0.062753,0.175399,855,1000
24,0.485000,0.356000,0.095549,1.000000,0.059794,0.175178,777,1000
25,0.482000,0.346000,0.098634,1.000000,0.066390,0.173025,849,1000
26,0.474000,0.346000,0.101463,1.000000,0.080169,0.166878,824,1000
27,0.509000,0.365000,0.108624,1.000000,0.064833,0.192861,900,1000
28,0.479000,0.360000,0.105499,1.000000,0.062630,0.192091,851,1000
29,0.501000,0.367000,0.104868,1.000000,0.059880,0.209915,801,1000
30,0.500000,0.357000,0.102103,1.000000,0.072000,0.212609,759,1000
31,0.484000,0.348000,0.105067,1.000000,0.074380,0.206631,846,1000
32,0.497000,0.367000,0.109663,1.000000,0.054326,0.204010,808,1000
33,0.506000,0.358000,0.107829,1.000000,0.071146,0.191635,898,1000
34,0.488000,0.351000,0.106379,1.000000,0.081967,0.201224,823,1000
35,0.521000,0.398000,0.108985,1.000000,0.067179,0.219622,792,1000
36,0.525000,0.403000,0.103330,1.000000,0.055238,0.205615,747,1000
37,0.513000,0.360000,0.104908,1.000000,0.058480,0.201847,945,1000
38,0.494000,0.362000,0.103052,1.000000,0.052632,0.180393,795,1000
39,0.472000,0.337000,0.105860,1.000000,0.057203,0.178546,898,1000
40,0.521000,0.387000,0.111477,1.000000,0.038388,0.203315,762,1000
41,0.516000,0.370000,0.122880,1.000000,0.050388,0.207738,808,1000
42,0.520000,0.390000,0.123834,1.000000,0.048077,0.204068,840,1000
43,0.504000,0.360000,0.126282,1.000000,0.051587,0.208605,813,1000
44,0.492000,0.377000,0.128780,1.000000,0.052846,0.207834,793,1000
45,0.503000,0.381000,0.127246,1.000000,0.057654,0.227335,740,1000
46,0.498000,0.357000,0.124794,1.000000,0.052209,0.232531,826,1000
47,0.499000,0.373000,0.121080,1.000000,0.056112,0.225976,775,1000
48,0.485000,0.344000,0.126054,1.000000,0.065979,0.201131,905,1000
49,0.485000,0.358000,0.131122,1.000000,0.072165,0.205007,759,1000
50,0.471000,0.332000,0.132151,1.000000,0.080679,0.190122,901,1000
51,0.469000,0.343000,0.135077,1.000000,0.078891,0.198727,743,1000
52,0.486000,0.353000,0.136157,1.000000,0.078189,0.202923,912,1000
53,0.509000,0.384000,0.134476,1.000000,0.064833,0.205450,784,1000
54,0.519000,0.387000,0.137654,1.000000,0.071291,0.207401,799,1000
55,0.507000,0.387000,0.134089,1.000000,0.053254,0.213027,748,1000
56,0.499000,0.379000,0.134438,1.000000,0.060120,0.220996,745,1000
57,0.533000,0.397000,0.142266,1.000000,0.076923,0.234028,741,1000
58,0.526000,0.384000,0.146290,1.000000,0.076046,0.257116,854,1000
59,0.520000,0.384000,0.156151,1.000000,0.073077,0.243049,782,1000
60,0.515000,0.385000,0.157738,1.000000,0.075728,0.237055,846,1000
61,0.479000,0.348000,0.160154,1.000000,0.073069,0.215040,849,1000
62,0.494000,0.359000,0.156564,1.000000,0.056680,0.229938,743,1000
63,0.470000,0.329000,0.158565,1.000000,0.065957,0.224554,817,1000
64,0.487000,0.353000,0.165247,1.000000,0.065708,0.234677,725,1000
65,0.477000,0.353000,0.167704,1.000000,0.083857,0.227229,796,1000
66,0.482000,0.361000,0.171456,1.000000,0.076763,0.236637,791,1000
67,0.515000,0.386000,0.173429,1.000000,0.071845,0.240635,741,1000
68,0.529000,0.399000,0.168500,1.000000,0.073724,0.261309,746,1000
69,0.503000,0.355000,0.163500,1.000000,0.071571,0.259161,776,1000
70,0.506000,0.361000,0.155513,1.000000,0.071146,0.259275,877,1000
71,0.503000,0.365000,0.162985,1.000000,0.067594,0.267514,807,1000
72,0.487000,0.366000,0.155539,1.000000,0.071869,0.265903,730,1000
73,0.489000,0.358000,0.158919,1.000000,0.079755,0.275343,844,1000
74,0.494000,0.363000,0.162846,1.000000,0.082996,0.284115,837,1000
75,0.496000,0.364000,0.157178,1.000000,0.066532,0.284476,808,1000
76,0.498000,0.371000,0.154175,1.000000,0.058233,0.290551,747,1000
77,0.505000,0.370000,0.161811,1.000000,0.065347,0.285120,904,1000
78,0.478000,0.348000,0.161197,1.000000,0.062762,0.268621,737,1000
79,0.505000,0.370000,0.167749,1.000000,0.057426,0.267422,777,1000
80,0.498000,0.381000,0.166068,1.000000,0.060241,0.265471,664,1000
81,0.485000,0.348000,0.170697,1.000000,0.072165,0.253465,824,1000
82,0.489000,0.362000,0.171162,1.000000,0.067485,0.250254,835,1000
83,0.519000,0.395000,0.172992,1.000000,0.053950,0.259127,811,1000
84,0.511000,0.374000,0.165239,1.000000,0.058708,0.260698,860,1000
85,0.522000,0.387000,0.160594,1.000000,0.057471,0.272457,738,1000
86,0.494000,0.362000,0.170889,1.000000,0.052632,0.252159,796,1000
87,0.502000,0.372000,0.163212,1.000000,0.057769,0.254962,726,1000
88,0.483000,0.355000,0.162703,1.000000,0.070393,0.231133,783,1000
89,0.494000,0.358000,0.171973,1.000000,0.060729,0.249137,820,1000
90,0.494000,0.365000,0.175322,1.000000,0.072874,0.240069,849,1000
